0,2022-01-0409:58:00,09:58:00,74,2022-01-04T00:00:00.000+01:00,09
0,2022-01-0402:32:00,02:32:00,67,2022-01-04T00:00:00.000+01:00,02
Martial Arts,2022-01-0521:46:00,21:46:00,121,2022-01-05T00:00:00.000+01:00,21
Martial Arts,2022-01-0522:33:00,22:33:00,113,2022-01-05T00:00:00.000+01:00,22
0,2022-01-0415:54:00,15:54:00,85,2022-01-04T00:00:00.000+01:00,15
0,2022-01-0402:08:00,02:08:00,63,2022-01-04T00:00:00.000+01:00,02
0,2022-01-0420:25:00,20:25:00,71,2022-01-04T00:00:00.000+01:00,20
0,2022-01-0406:03:00,06:03:00,67,2022-01-04T00:00:00.000+01:00,06
0,2022-01-0412:51:00,12:51:00,67,2022-01-04T00:00:00.000+01:00,12
0,2022-01-0415:30:00,15:30:00,81,2022-01-04T00:00:00.000+01:00,15
0,2022-01-0401:14:00,01:14:00,78,2022-01-04T00:00:00.000+01:00,01
0,2022-01-0414:56:00,14:56:00,77,2022-01-04T00:00:00.000+01:00,14
0,2022-01-0400:29:00,00:29:00,72,2022-01-04T00:00:00.000+01:00,00
0,2022-01-0405:19:00,05:19:00,58,2022-01-04T00:00:00.000+01:00,05
Martial Arts,2022-01-0521:23:00,21:23:00,137,2022-01-05T00:00:00.000+01:00,21
Martial Arts,2022-01-0522:20:00,22:20:00,96,2022-01-05T00:00:00.000+01:00,22
0,2022-01-0411:45:00,11:45:00,72,2022-01-04T00:00:00.000+01:00,11
0,2022-01-0410:03:00,10:03:00,80,2022-01-04T00:00:00.000+01:00,10
0,2022-01-0414:46:00,14:46:00,84,2022-01-04T00:00:00.000+01:00,14
0,2022-01-0404:12:00,04:12:00,61,2022-01-04T00:00:00.000+01:00,04
0,2022-01-0402:55:00,02:55:00,64,2022-01-04T00:00:00.000+01:00,02
0,2022-01-0409:30:00,09:30:00,84,2022-01-04T00:00:00.000+01:00,09
0,2022-01-0405:34:00,05:34:00,59,2022-01-04T00:00:00.000+01:00,05
0,2022-01-0403:19:00,03:19:00,64,2022-01-04T00:00:00.000+01:00,03
0,2022-01-0417:09:00,17:09:00,85,2022-01-04T00:00:00.000+01:00,17
0,2022-01-0410:26:00,10:26:00,77,2022-01-04T00:00:00.000+01:00,10
Martial Arts,2022-01-0520:34:00,20:34:00,148,2022-01-05T00:00:00.000+01:00,20
